pictogram_label,pictogram_file,pictogram_category,pictogram_metadata
A des dettes,a_des_dettes,15.5.0;3.2.0;10.0.0,argent;pauvre;endetté;débiteur;créancier;payer;charges
A un animal,a_un_animal,7.1.5;13.9.0,chien;chat;lapin;poule;vétérinaire;animal de compagnie;dresser
Abondance des règles,abondance_des_saignements,16.3.0;2.20.0,règles;menstruations;cycle menstruel
Abondance des règles 2,abondance_des_saignements_2,2.20.0;16.3.0,règles;menstruations;cycle menstruel
Abricot,abricot,1.1.0,abricot;fruit
Acariens,acariens,2.5.0;13.9.0;2.2.0;2.5.0,logement;insalubrité;nuisible;insecte
Accouchement hôpital,accouchement_a_l_hopital,16.1.0;2.23.0;16.4.0;2.22.0,accouchement;hopital;maternité
Accouchement,accouchement_a_l_hopital,16.1.0;2.23.0,accoucher;enceinte;maison;grossesse;sage-femme;bébé;naissance
Accouchement maison,accouchement_a_la_maison,16.1.0;2.23.0,accouchement;émotion;vécu;femme;grossesse;bébé;accoucher
Ressenti accouchement,accouchement_forceps,16.1.0;2.23.0,accouchement;accoucher;enfanter;donner naissance
Césarienne,accouchement_par_cesarienne,16.1.0;2.23.0,accouchement;accoucher;enfanter;donner naissance
Accouchement voie basse,accouchement_par_voie_basse,16.1.0;2.23.0,accouchement;accoucher;enfanter;donner naissance
Adolescent,adolescent,12.1.0;12.2.0;18.0.0,adolescent;crise;acnée
Afrique,afrique,13.1.0,continent;territoire;pays;origine;afrique
Age enfant,age_enfants,18.4.0,âge enfant;tranche d'âge;croissance
Agent métropolitain,agent_de_la_metropole,14.7.0;12.1.0,agent;fonctionnaire;interlocuteur;professionnel;accueil;métropole de lyon;métropole
Aider pour s'habiller,aide_habiller,13.7.0;5.1.0;2.30.0,mettre ses vêtements;enfiler ses vêtements;habits;se couvrir;personne âgée;handicap;aidant;aider;autonomie;dépendance
Aider pour se laver,aide_laver,13.7.0;5.1.0;20.1.0;20.4.0;19.4.0;2.30.0,hygiène;aidant;faire sa toilette;aider;autonomie;dépendance;personne âgée;handicap
Aider pour se lever,aide_lever,13.7.0;5.1.0;2.30.0,coucher;lever;dormir;lit;personne âgée;handicap;aidant;aider;autonomie;dépendance
Aider pour manger,aide_manger,13.7.0;5.1.0;1.9.0;2.30.0,manger;repas;se nourrir;s'alimenter;déjeûner;dîner;souper;petit-déjeuner;goûter;personne âgée;handicap;aidant;aider;autonomie;dépendance
Aide ménagère,aide_menagere,14.2.0;5.3.0;2.11.0;12.3.0,aide ménagère;femme de ménage;homme de ménage;ménage;aidant
Aides métropole,aides_deja_acquises,4.1.0;14.7.0,aides;acquises;allocations;primes d'activités
Droit et aide,aides_deja_acquises,19.2.0;20.1.0;4.1.0;4.2.0;15.5.0,aides;acquises;allocations;primes d'activités
Alcool,alcool,2.3.0;13.3.6;17.0.0;13.3.0,Alcool;boire;vin;whysky;rhum;vodka;gin;bière
Allaitement,allaitement,1.4.0;1.2.0;18.1.0;16.2.0,allaitement;lait;alimentation bébé;sein
Allaiter debout allongé,allaitement_debout_allonge,1.4.0;1.2.0;18.1.0;16.2.0,allaitement;position;debout : allongé
Allergie puce,allergie_aux_puces,2.7.0;13.9.0,allergie puce;insectes;ménage;acariens
